[4240000, 0.45169811320754716]
[4250000, 0.4516235294117647]
[4260000, 0.4516431924882629]
[4270000, 0.4516393442622951]
[4280000, 0.4516121495327103]
[4290000, 0.452027972027972]
[4300000, 0.45176744186046514]
[4310000, 0.45185614849187933]
[4320000, 0.45180555555555557]
[4330000, 0.4518937644341801]
[4340000, 0.4516359447004608]
[4350000, 0.4516551724137931]
[4360000, 0.45192660550458713]
[4370000, 0.4519908466819222]
[4380000, 0.45223744292237444]
[4390000, 0.4519817767653759]
[4400000, 0.4519772727272727]
[4410000, 0.45192743764172333]
[4420000, 0.45178733031674206]
[4430000, 0.4518961625282167]
[4440000, 0.4521171171171171]
[4450000, 0.4518426966292135]
[4460000, 0.4519282511210762]
[4470000, 0.4521476510067114]
[4480000, 0.4525]
[4490000, 0.4524944320712695]
[4500000, 0.4523111111111111]
[4510000, 0.45241685144124166]
[4520000, 0.45247787610619467]
[4530000, 0.45225165562913905]
[4540000, 0.4524008810572687]
[4550000, 0.4522857142857143]
[4560000, 0.45245614035087717]
[4570000, 0.4524507658643326]
[4580000, 0.4522707423580786]
[4590000, 0.4523747276688453]
[4600000, 0.4524565217391304]
[4610000, 0.45234273318872015]
[4620000, 0.45227272727272727]
[4630000, 0.45222462203023756]
[4640000, 0.4522844827586207]
[4650000, 0.45240860215053763]
[4660000, 0.45223175965665235]
[4670000, 0.4521199143468951]
[4680000, 0.45213675213675214]
[4690000, 0.45204690831556504]
[4700000, 0.452]
[4710000, 0.4521656050955414]
[4720000, 0.4522457627118644]
[4730000, 0.4522198731501057]
[4740000, 0.45206751054852323]
[4750000, 0.4516210526315789]
[4760000, 0.4517016806722689]
[4770000, 0.4520335429769392]
[4780000, 0.45188284518828453]
[4790000, 0.4518162839248434]
[4800000, 0.45185416666666667]
[4810000, 0.45203742203742203]
[4820000, 0.4521784232365145]
[4830000, 0.4522153209109731]
[4840000, 0.45231404958677685]
[4850000, 0.4524536082474227]
[4860000, 0.4524074074074074]
[4870000, 0.45215605749486654]
[4880000, 0.4520696721311475]
[4890000, 0.45206543967280166]
[4900000, 0.4520816326530612]
[4910000, 0.4519348268839104]
[4920000, 0.45197154471544715]
[4930000, 0.4520486815415822]
[4940000, 0.4521862348178138]
[4950000, 0.4521818181818182]
[4960000, 0.45221774193548386]
[4970000, 0.45227364185110663]
[4980000, 0.45220883534136547]
[4990000, 0.45214428857715433]
[5000000, 0.45222]
[5010000, 0.45209580838323354]
[5020000, 0.45237051792828686]
[5030000, 0.4524254473161034]
[5040000, 0.4525]
[5050000, 0.45273267326732675]
[5060000, 0.45286561264822134]
[5070000, 0.45289940828402364]
[5080000, 0.452755905511811]
[5090000, 0.45290766208251476]
[5100000, 0.4528039215686275]
[5110000, 0.45273972602739726]
[5120000, 0.45283203125]
[5130000, 0.45269005847953214]
[5140000, 0.45299610894941633]
[5150000, 0.4532038834951456]
[5160000, 0.45323643410852715]
[5170000, 0.4530174081237911]
[5180000, 0.45297297297297295]
[5190000, 0.4528901734104046]
[5200000, 0.45296153846153847]
[5210000, 0.452936660268714]
[5220000, 0.4531034482758621]
[5230000, 0.45315487571701724]
[5240000, 0.45314885496183205]
[5250000, 0.45308571428571426]
[5260000, 0.4531558935361217]
[5270000, 0.4532068311195446]
[5280000, 0.4530871212121212]
[5290000, 0.45304347826086955]
[5300000, 0.4530943396226415]
[5310000, 0.4532391713747646]
[5320000, 0.4532706766917293]
[5330000, 0.4532645403377111]
[5340000, 0.45305243445692883]
[5350000, 0.45314018691588787]
[5360000, 0.4532276119402985]
[5370000, 0.453147113594041]
[5380000, 0.45315985130111525]
[5390000, 0.45315398886827457]
[5400000, 0.45311111111111113]
[5410000, 0.4531608133086876]
[5420000, 0.45300738007380076]
[5430000, 0.4530755064456722]
[5440000, 0.4529779411764706]
[5450000, 0.45288073394495415]
[5460000, 0.453021978021978]
[5470000, 0.45314442413162703]
[5480000, 0.45322992700729925]
[5490000, 0.453224043715847]
[5500000, 0.4531454545454545]
[5510000, 0.4531578947368421]
[5520000, 0.4532789855072464]
[5530000, 0.4532368896925859]
[5540000, 0.45328519855595667]
[5550000, 0.4532432432432432]
[5560000, 0.45323741007194246]
[5570000, 0.45317773788150806]
[5580000, 0.45327956989247314]
[5590000, 0.4535241502683363]
[5600000, 0.45348214285714283]
[5610000, 0.4536185383244207]
[5620000, 0.4536476868327402]
[5630000, 0.4536589698046181]
[5640000, 0.45351063829787236]
[5650000, 0.4534336283185841]
[5660000, 0.4535865724381625]
[5670000, 0.4534920634920635]
[5680000, 0.45327464788732397]
[5690000, 0.4533919156414763]
[5700000, 0.4534385964912281]
[5710000, 0.4533800350262697]
[5720000, 0.45326923076923076]
[5730000, 0.4530890052356021]
[5740000, 0.4530487804878049]
[5750000, 0.45321739130434785]
[5760000, 0.4530034722222222]
