['win', [[14, 'D'], [14, 'S']], 'Flush']
['win', [[5, 'S'], [10, 'H']], 'Straight']
['win', [[13, 'S'], [3, 'S']], 'Pair']
['win', [[14, 'H'], [8, 'C']], 'Pair']
['win', [[13, 'C'], [3, 'S']], '3 of a Kind']
['win', [[11, 'D'], [13, 'C']], '2 Pairs']
['win', [[9, 'D'], [12, 'D']], 'Flush']
['win', [[8, 'H'], [10, 'H']], 'Straight']
['win', [[13, 'C'], [7, 'H']], 'Pair']
['win', [[8, 'H'], [7, 'S']], '2 Pairs']
['win', [[5, 'D'], [14, 'S']], '3 of a Kind']
['win', [[13, 'D'], [8, 'S']], '2 Pairs']
['win', [[9, 'C'], [14, 'H']], '2 Pairs']
['win', [[8, 'H'], [12, 'D']], 'Straight']
['win', [[13, 'C'], [3, 'H']], '2 Pairs']
['win', [[6, 'S'], [7, 'S']], '2 Pairs']
['win', [[7, 'H'], [10, 'D']], '2 Pairs']
['win', [[8, 'C'], [12, 'C']], 'Flush']
['win', [[9, 'D'], [6, 'H']], '3 of a Kind']
['win', [[5, 'C'], [2, 'H']], '2 Pairs']
['win', [[8, 'H'], [8, 'D']], '4 of a Kind']
['win', [[14, 'H'], [14, 'S']], 'Full House']
['draw', [[[7, 'C'], [8, 'S']], [[2, 'C'], [6, 'D']]], 'Pair']
['win', [[4, 'H'], [2, 'H']], 'Flush']
['win', [[7, 'C'], [8, 'H']], 'Straight']
['win', [[4, 'S'], [10, 'H']], '3 of a Kind']
['win', [[13, 'C'], [7, 'S']], '2 Pairs']
['win', [[6, 'D'], [6, 'C']], 'Full House']
['win', [[9, 'S'], [8, 'S']], 'Flush']
['win', [[10, 'S'], [8, 'C']], '2 Pairs']
['win', [[13, 'S'], [13, 'C']], 'Full House']
['win', [[7, 'H'], [10, 'C']], 'Full House']
['win', [[14, 'C'], [10, 'D']], 'Straight']
['win', [[7, 'H'], [6, 'H']], 'Flush']
['win', [[12, 'D'], [12, 'C']], 'Pair']
['win', [[8, 'S'], [6, 'S']], 'Straight']
['win', [[4, 'D'], [6, 'H']], '3 of a Kind']
['draw', [[[5, 'S'], [14, 'D']], [[12, 'C'], [3, 'D']]], '2 Pairs']
['win', [[11, 'S'], [6, 'S']], 'Flush']
['win', [[13, 'S'], [5, 'D']], 'Full House']
['win', [[12, 'C'], [14, 'S']], '2 Pairs']
['win', [[10, 'C'], [8, 'C']], 'Full House']
['win', [[4, 'H'], [11, 'C']], 'Full House']
['win', [[2, 'S'], [9, 'S']], 'Flush']
['win', [[2, 'H'], [14, 'C']], '3 of a Kind']
['win', [[6, 'C'], [8, 'C']], 'Flush']
['win', [[8, 'D'], [7, 'C']], 'Straight']
['win', [[6, 'C'], [13, 'C']], 'Flush']
['win', [[9, 'S'], [5, 'S']], 'Flush']
['win', [[11, 'D'], [12, 'D']], 'Flush']
['win', [[5, 'S'], [11, 'S']], 'Pair']
['win', [[3, 'C'], [9, 'D']], 'Full House']
['win', [[10, 'C'], [13, 'S']], '2 Pairs']
['draw', [[[4, 'D'], [14, 'D']], [[3, 'C'], [11, 'D']]], 'Flush']
['win', [[9, 'S'], [7, 'H']], 'Straight']
['win', [[8, 'C'], [9, 'S']], '3 of a Kind']
['win', [[11, 'C'], [13, 'D']], 'Pair']
['win', [[2, 'D'], [12, 'S']], '2 Pairs']
['win', [[3, 'C'], [4, 'C']], '2 Pairs']
['win', [[12, 'H'], [8, 'D']], '3 of a Kind']
['win', [[14, 'D'], [10, 'C']], 'Full House']
['win', [[14, 'H'], [8, 'D']], '2 Pairs']
['win', [[8, 'C'], [3, 'C']], '3 of a Kind']
['win', [[6, 'S'], [3, 'D']], 'Straight']
['win', [[7, 'S'], [11, 'C']], 'Straight']
['win', [[7, 'H'], [3, 'C']], '3 of a Kind']
['win', [[12, 'H'], [13, 'C']], 'Straight']
['win', [[13, 'D'], [2, 'H']], '3 of a Kind']
['win', [[9, 'D'], [6, 'S']], 'Full House']
['win', [[5, 'D'], [14, 'C']], '2 Pairs']
['win', [[5, 'C'], [13, 'H']], 'Straight']
['win', [[2, 'C'], [13, 'H']], '3 of a Kind']
['win', [[6, 'C'], [3, 'D']], 'Straight']
['win', [[12, 'C'], [9, 'H']], 'Full House']
['win', [[3, 'D'], [14, 'C']], '2 Pairs']
['win', [[6, 'H'], [12, 'H']], 'Flush']
['win', [[13, 'S'], [6, 'D']], '2 Pairs']
['win', [[12, 'D'], [12, 'H']], '4 of a Kind']
['win', [[11, 'S'], [3, 'D']], 'Straight']
['win', [[7, 'S'], [10, 'H']], 'Full House']
['win', [[6, 'S'], [14, 'S']], '2 Pairs']
['win', [[13, 'H'], [13, 'S']], 'Flush']
['win', [[3, 'S'], [11, 'H']], '2 Pairs']
['win', [[7, 'D'], [7, 'S']], 'Pair']
['win', [[14, 'D'], [9, 'H']], 'Full House']
['win', [[3, 'D'], [4, 'D']], '2 Pairs']
['win', [[2, 'C'], [10, 'S']], 'Straight']
['win', [[8, 'S'], [13, 'S']], 'Flush']
['win', [[14, 'S'], [5, 'D']], 'Straight']
['win', [[10, 'H'], [13, 'C']], '2 Pairs']
['win', [[13, 'S'], [13, 'H']], '3 of a Kind']
['win', [[13, 'C'], [13, 'H']], '3 of a Kind']
['win', [[14, 'C'], [3, 'D']], '3 of a Kind']
['win', [[8, 'S'], [3, 'C']], '4 of a Kind']
['win', [[13, 'D'], [6, 'D']], 'Flush']
['win', [[12, 'C'], [8, 'C']], 'Straight']
['win', [[14, 'D'], [3, 'H']], '2 Pairs']
['win', [[4, 'D'], [2, 'D']], '2 Pairs']
['win', [[8, 'C'], [13, 'S']], 'Straight']
['win', [[12, 'D'], [10, 'S']], '2 Pairs']
['win', [[5, 'H'], [5, 'C']], 'Full House']
['win', [[10, 'C'], [14, 'D']], 'Pair']
['win', [[14, 'C'], [7, 'S']], 'Pair']
['win', [[10, 'D'], [11, 'C']], '2 Pairs']
['win', [[2, 'H'], [7, 'S']], '2 Pairs']
['win', [[12, 'C'], [14, 'S']], '2 Pairs']
['win', [[10, 'D'], [6, 'S']], '3 of a Kind']
['win', [[6, 'H'], [6, 'D']], '3 of a Kind']
['win', [[2, 'S'], [9, 'S']], 'Flush']
['win', [[11, 'C'], [8, 'S']], 'Full House']
['win', [[3, 'C'], [12, 'D']], 'Straight']
['win', [[6, 'S'], [8, 'S']], 'Straight']
['win', [[5, 'C'], [10, 'D']], 'Straight']
['win', [[9, 'C'], [9, 'D']], '3 of a Kind']
['win', [[4, 'S'], [12, 'H']], '3 of a Kind']
['win', [[12, 'D'], [9, 'S']], 'Pair']
['win', [[10, 'S'], [4, 'S']], 'Flush']
['win', [[4, 'H'], [4, 'C']], '3 of a Kind']
['win', [[11, 'D'], [2, 'D']], 'Flush']
['win', [[8, 'D'], [13, 'D']], 'Full House']
['win', [[7, 'D'], [9, 'H']], 'Full House']
['win', [[8, 'C'], [4, 'S']], '3 of a Kind']
['win', [[14, 'H'], [13, 'D']], 'Pair']
['win', [[9, 'H'], [12, 'S']], '2 Pairs']
['win', [[14, 'H'], [6, 'H']], 'Flush']
['win', [[6, 'S'], [5, 'C']], '3 of a Kind']
