['win', [[6, 'C'], [9, 'D']], 'Pair']
['win', [[9, 'D'], [7, 'H']], 'Straight']
['win', [[9, 'D'], [5, 'S']], 'Full House']
['win', [[10, 'C'], [9, 'H']], None]
['win', [[12, 'D'], [13, 'C']], '3 of a Kind']
['win', [[10, 'H'], [12, 'D']], 'Pair']
['win', [[2, 'C'], [14, 'H']], '2 Pairs']
['win', [[4, 'S'], [4, 'C']], '2 Pairs']
['win', [[2, 'H'], [6, 'H']], '3 of a Kind']
['win', [[14, 'C'], [6, 'H']], 'Pair']
['win', [[9, 'C'], [7, 'D']], 'Flush']
['win', [[6, 'S'], [6, 'H']], '3 of a Kind']
['win', [[13, 'S'], [6, 'H']], 'Full House']
['win', [[7, 'D'], [9, 'H']], 'Pair']
['win', [[4, 'C'], [2, 'C']], 'Straight']
['draw', [[[8, 'C'], [2, 'C']], [[11, 'H'], [13, 'C']]], '2 Pairs']
['win', [[8, 'H'], [10, 'S']], 'Straight']
['win', [[13, 'C'], [6, 'D']], '2 Pairs']
['win', [[3, 'H'], [3, 'S']], '2 Pairs']
['win', [[10, 'H'], [14, 'H']], 'Pair']
['win', [[6, 'D'], [2, 'H']], '2 Pairs']
['win', [[12, 'H'], [12, 'C']], '2 Pairs']
['win', [[7, 'H'], [9, 'D']], '2 Pairs']
['win', [[14, 'D'], [13, 'S']], 'Pair']
['win', [[14, 'C'], [3, 'S']], 'Pair']
['win', [[2, 'H'], [13, 'S']], '2 Pairs']
['win', [[2, 'C'], [5, 'S']], 'Pair']
['win', [[11, 'S'], [3, 'S']], 'Pair']
['win', [[5, 'H'], [3, 'H']], 'Flush']
['win', [[14, 'C'], [3, 'H']], '3 of a Kind']
['win', [[8, 'S'], [5, 'H']], None]
['win', [[11, 'D'], [14, 'D']], '3 of a Kind']
['win', [[8, 'S'], [10, 'D']], 'Straight']
['win', [[10, 'H'], [12, 'D']], 'Full House']
['win', [[9, 'H'], [14, 'H']], 'Pair']
['win', [[14, 'S'], [5, 'S']], 'Pair']
['win', [[14, 'C'], [3, 'D']], 'Pair']
['win', [[11, 'D'], [9, 'H']], '2 Pairs']
['win', [[6, 'S'], [13, 'D']], '2 Pairs']
['win', [[8, 'D'], [13, 'S']], 'Pair']
['win', [[9, 'C'], [10, 'S']], 'Pair']
['win', [[7, 'H'], [7, 'S']], 'Full House']
['win', [[3, 'C'], [6, 'C']], 'Flush']
